Title,Note,URL,Comment
2 Willow Road,,https://www.google.com/maps/place/2+Willow+Road/data=!4m2!3m1!1s0x48761a61e122b21d:0x96affb5e294f9905,
Saatchi Yates,,https://www.google.com/maps/place/Saatchi+Yates/data=!4m2!3m1!1s0x48760509c23339ab:0xf5037dec85cd44b7,
Rio Cinema,,https://www.google.com/maps/place/Rio+Cinema/data=!4m2!3m1!1s0x48761c8c30e2e01f:0xc6fb4861ffc911f4,
The Hill Garden and Pergola,,https://www.google.com/maps/place/The+Hill+Garden+and+Pergola/data=!4m2!3m1!1s0x48761a7a2bf05bfb:0xe38199380fee0df,
Hampstead Jazz Club,,https://www.google.com/maps/place/Hampstead+Jazz+Club/data=!4m2!3m1!1s0x48761b50edfc0dd3:0x16e2dd9783a62acd,
Rocket Gallery Cambridge Heath,,https://www.google.com/maps/place/Rocket+Gallery+Cambridge+Heath/data=!4m2!3m1!1s0x48761cb0cf498cfb:0x73c91465304f65e,
Prince Charles Cinema,,https://www.google.com/maps/place/Prince+Charles+Cinema/data=!4m2!3m1!1s0x487604d24715fcb3:0x4d14067671252aa8,
Dash The Henge Store,,https://www.google.com/maps/place/Dash+The+Henge+Store/data=!4m2!3m1!1s0x487603c6db9c16bf:0xa8f73acc5a24dff0,
The Yard Theatre,,https://www.google.com/maps/place/The+Yard+Theatre/data=!4m2!3m1!1s0x48761d6cca67e039:0xe30520bffce8814d,
FOLD,,https://www.google.com/maps/place/FOLD/data=!4m2!3m1!1s0x47d8a7fec2955555:0xe527c9bb00728b9e,
Goldsmiths Centre for Contemporary Art,,https://www.google.com/maps/place/Goldsmiths+Centre+for+Contemporary+Art/data=!4m2!3m1!1s0x487602f8582c46e9:0x72669f0495be9a7,
The Jago Dalston,,https://www.google.com/maps/place/The+Jago+Dalston/data=!4m2!3m1!1s0x48761d62a5f49d47:0x5c6840f7209e7afc,
Wellcome Collection,,https://www.google.com/maps/place/Wellcome+Collection/data=!4m2!3m1!1s0x48761b25f10b008f:0xed51ac6f865b038a,
